Filename, Last modified, Upstream Last modified, Up to date
l10n/override/zh_CN/_guides/guides.md, 2022-11-17 04:38:13 +0000, 2023-07-05 14:00:36 +0000, NG
l10n/override/zh_CN/_layouts/guides.html, 2024-01-22 14:39:48 +0000, 2024-08-23 12:05:07 +0000, NG
l10n/override/zh_CN/_layouts/quarkus2.html, 2022-05-15 04:29:34 +0000, 2025-04-22 21:21:21 +0000, NG
l10n/override/zh_CN/_layouts/insights.html, 2022-05-15 04:29:34 +0000, 2023-07-05 14:00:36 +0000, NG
l10n/override/zh_CN/_layouts/extensions.html, 2022-05-15 04:29:34 +0000, 2023-07-05 14:00:36 +0000, NG
l10n/override/zh_CN/blog.md, 2022-05-15 04:29:34 +0000, 2023-07-05 14:00:36 +0000, NG
l10n/override/zh_CN/CNAME, 2022-06-08 18:48:15 +0000, 2019-03-07 11:48:18 +0000, OK
l10n/override/zh_CN/_includes/index-guides.html, 2024-01-22 14:39:48 +0000, 2024-10-25 08:59:06 +0000, NG
l10n/override/zh_CN/_includes/recent-posts-band.html, 2024-01-22 14:39:48 +0000, 2025-11-21 09:33:12 +0000, NG
l10n/override/zh_CN/_includes/homepage-video-band.html, 2023-12-15 10:00:55 +0000, 2024-05-24 06:14:55 +0000, NG
l10n/override/zh_CN/_includes/publication-entries.html, 2024-01-22 14:39:48 +0000, 2024-05-24 07:16:09 +0000, NG
l10n/override/zh_CN/_data/projectfooter.yaml, 2023-12-15 10:00:55 +0000, 2026-01-28 23:48:23 +0000, NG
